region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,cross_region,Learned Hierarchical [trained on saudi],2042,7.0,27.733333333333334,0.16666666666666666,0.994623434551381,728.1333333333333,-485.1256510416667
california,cross_region,Learned Hierarchical [trained on saudi],3042,7.0,22.2,0.3222222222222222,0.9937164750957854,635.8666666666667,-382.6946614583333
california,cross_region,Learned Hierarchical [trained on saudi],4042,7.0,23.8,0.26666666666666666,0.9947892720306513,643.4666666666667,-387.7252604166667
california,cross_region,No-Op,42,7.0,24.6,0.24444444444444444,1.0,656.0666666666667,-396.4635416666667
california,cross_region,No-Op,1042,7.0,27.733333333333334,0.16666666666666666,1.0,702.5333333333333,-451.248046875
california,cross_region,No-Op,2042,7.0,27.733333333333334,0.16666666666666666,1.0,731.0666666666667,-489.6399739583333
california,cross_region,No-Op,3042,7.0,22.4,0.31111111111111106,1.0,641.4,-387.18359375
california,cross_region,No-Op,4042,7.0,23.8,0.26666666666666666,1.0,646.6666666666666,-390.859375
california,heldout_ignition,CommNet (matched),42,7.0,12.6,0.5666666666666667,0.7072958257713249,564.2,-320.8421875
california,heldout_ignition,CommNet (matched),1042,7.0,12.6,0.5666666666666667,0.7072958257713249,564.2,-320.83828125
california,heldout_ignition,CommNet (matched),2042,7.0,12.6,0.5666666666666667,0.7072958257713249,564.2,-320.84283854166665
california,heldout_ignition,CommNet (matched),3042,7.0,12.6,0.5666666666666667,0.7072958257713249,564.2,-320.83502604166665
california,heldout_ignition,CommNet (matched),4042,7.0,12.6,0.5666666666666667,0.7072958257713249,564.2,-320.83177083333334
california,heldout_ignition,Learned Hierarchical,42,7.0,18.0,0.43333333333333335,0.985480943738657,583.2,-329.0716145833333
california,heldout_ignition,Learned Hierarchical,1042,7.0,18.0,0.43333333333333335,0.985480943738657,583.2,-329.068359375
california,heldout_ignition,Learned Hierarchical,2042,7.0,18.0,0.43333333333333335,0.985480943738657,583.2,-329.0703125
california,heldout_ignition,Learned Hierarchical,3042,7.0,18.0,0.43333333333333335,0.985480943738657,583.2,-329.0638020833333
california,heldout_ignition,Learned Hierarchical,4042,7.0,18.0,0.43333333333333335,0.985480943738657,583.2,-329.0592447916667
california,heldout_ignition,Local Reactive,42,7.0,10.8,0.6,0.9949263964508973,504.4,-298.69854166666664
california,heldout_ignition,Local Reactive,1042,7.0,10.333333333333334,0.611111111111111,0.9943940310546481,512.7333333333333,-326.8629427083333
california,heldout_ignition,Local Reactive,2042,7.0,7.133333333333334,0.6333333333333333,0.9959694058206426,498.2,-310.412421875
california,heldout_ignition,Local Reactive,3042,7.0,10.4,0.6333333333333333,0.9904754658301161,511.8,-318.3611197916667
california,heldout_ignition,Local Reactive,4042,7.0,12.2,0.5888888888888889,0.9956926799758016,498.6,-293.81687500000004
california,heldout_ignition,No-Op,42,7.0,18.0,0.43333333333333335,1.0,584.8,-330.0813802083333
california,heldout_ignition,No-Op,1042,7.0,18.0,0.43333333333333335,1.0,584.8,-330.0794270833333
california,heldout_ignition,No-Op,2042,7.0,18.0,0.43333333333333335,1.0,584.8,-330.0813802083333
california,heldout_ignition,No-Op,3042,7.0,18.0,0.43333333333333335,1.0,584.8,-330.0748697916667
california,heldout_ignition,No-Op,4042,7.0,18.0,0.43333333333333335,1.0,584.8,-330.0690104166667
california,heldout_ignition,Value-First Heuristic,42,7.0,18.0,0.43333333333333335,0.9919419237749546,582.8,-328.7962239583333
california,heldout_ignition,Value-First Heuristic,1042,7.0,18.0,0.43333333333333335,0.9919419237749546,582.8,-328.7923177083333
california,heldout_ignition,Value-First Heuristic,2042,7.0,18.0,0.43333333333333335,0.9919419237749546,582.8,-328.7955729166667
california,heldout_ignition,Value-First Heuristic,3042,7.0,18.0,0.43333333333333335,0.9919419237749546,582.8,-328.7884114583333
california,heldout_ignition,Value-First Heuristic,4042,7.0,18.0,0.43333333333333335,0.9919419237749546,582.8,-328.783203125
california,wind_plus90,CommNet (matched),42,7.0,25.0,0.23333333333333334,0.6090523758392276,710.6666666666666,-504.6204427083333
california,wind_plus90,CommNet (matched),1042,7.0,26.533333333333335,0.17777777777777776,0.7304168501625659,685.6666666666666,-434.7531510416667
california,wind_plus90,CommNet (matched),2042,7.0,28.2,0.14444444444444443,0.7083670528590684,744.2,-483.26890625000004
california,wind_plus90,CommNet (matched),3042,7.0,24.933333333333334,0.2111111111111111,0.7001146801179873,664.4,-430.5566666666667
california,wind_plus90,CommNet (matched),4042,7.0,24.4,0.2333333333333333,0.5780231457980319,707.5333333333333,-477.6069010416667
california,wind_plus90,Learned Hierarchical,42,7.0,29.6,0.1,0.9671837178728845,738.0,-526.9518229166666
california,wind_plus90,Learned Hierarchical,1042,7.0,30.533333333333335,0.06666666666666667,0.9785862941210952,715.5333333333333,-464.3385416666667
california,wind_plus90,Learned Hierarchical,2042,7.0,31.0,0.06666666666666667,0.972029906632513,761.8666666666667,-500.8229166666667
california,wind_plus90,Learned Hierarchical,3042,7.0,29.333333333333332,0.1,0.9851660632196835,697.6,-455.87890625
california,wind_plus90,Learned Hierarchical,4042,7.0,30.8,0.06666666666666667,0.9686355132614078,732.2,-501.7213541666667
california,wind_plus90,Local Reactive,42,7.0,24.133333333333333,0.22222222222222224,0.9963323849138278,663.7333333333333,-487.48940104166667
california,wind_plus90,Local Reactive,1042,7.0,22.733333333333334,0.24444444444444444,0.997462200799242,614.6,-403.6883072916667
california,wind_plus90,Local Reactive,2042,7.0,24.666666666666668,0.18888888888888886,0.9936151109789059,703.0666666666667,-481.31734375
california,wind_plus90,Local Reactive,3042,7.0,23.533333333333335,0.26666666666666666,0.9949636357282533,612.5333333333333,-411.16111979166664
california,wind_plus90,Local Reactive,4042,7.0,24.6,0.18888888888888886,0.9974044919392999,649.2,-441.693671875
california,wind_plus90,No-Op,42,7.0,29.6,0.1,1.0,740.4666666666667,-529.12890625
california,wind_plus90,No-Op,1042,7.0,30.533333333333335,0.06666666666666667,1.0,720.8,-463.400390625
california,wind_plus90,No-Op,2042,7.0,31.0,0.06666666666666667,1.0,765.5333333333333,-500.3111979166667
california,wind_plus90,No-Op,3042,7.0,29.333333333333332,0.1,1.0,701.8666666666667,-456.7877604166667
california,wind_plus90,No-Op,4042,7.0,30.8,0.06666666666666667,1.0,734.8,-503.65625
california,wind_plus90,Value-First Heuristic,42,7.0,29.6,0.1,0.9912219094635913,738.0666666666667,-527.07421875
california,wind_plus90,Value-First Heuristic,1042,7.0,30.533333333333335,0.06666666666666667,0.992359691782912,715.4666666666667,-464.2395833333333
california,wind_plus90,Value-First Heuristic,2042,7.0,31.0,0.06666666666666667,0.990703183549689,762.6,-500.9466145833333
california,wind_plus90,Value-First Heuristic,3042,7.0,29.333333333333332,0.1,0.9911020712925643,697.6666666666666,-455.9095052083333
california,wind_plus90,Value-First Heuristic,4042,7.0,30.8,0.06666666666666667,0.9913441022940047,732.4,-501.4010416666667
