region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,3,No-Op,3042,11,27.0,0.2857142857142857,1.0,900,-705.537109375
saudi,3,No-Op,3042,12,27.0,0.2857142857142857,1.0,900,-538.84765625
saudi,3,No-Op,3042,13,27.0,0.2857142857142857,1.0,900,-712.685546875
saudi,3,No-Op,3042,14,27.0,0.2857142857142857,1.0,900,-691.3671875
saudi,3,No-Op,4042,0,27.0,0.2857142857142857,1.0,890,-666.66015625
saudi,3,No-Op,4042,1,27.0,0.2857142857142857,1.0,900,-574.5703125
saudi,3,No-Op,4042,2,27.0,0.2857142857142857,1.0,752,-382.900390625
saudi,3,No-Op,4042,3,27.0,0.2857142857142857,1.0,900,-169.033203125
saudi,3,No-Op,4042,4,27.0,0.2857142857142857,1.0,900,-534.70703125
saudi,3,No-Op,4042,5,27.0,0.2857142857142857,1.0,900,-456.015625
saudi,3,No-Op,4042,6,27.0,0.2857142857142857,1.0,874,-635.1953125
saudi,3,No-Op,4042,7,27.0,0.2857142857142857,1.0,900,-687.587890625
saudi,3,No-Op,4042,8,27.0,0.2857142857142857,1.0,900,-720.087890625
saudi,3,No-Op,4042,9,27.0,0.2857142857142857,1.0,900,-698.28125
saudi,3,No-Op,4042,10,27.0,0.2857142857142857,1.0,855,-556.123046875
saudi,3,No-Op,4042,11,27.0,0.2857142857142857,1.0,900,-588.232421875
saudi,3,No-Op,4042,12,27.0,0.2857142857142857,1.0,884,-657.55859375
saudi,3,No-Op,4042,13,27.0,0.2857142857142857,1.0,893,-708.291015625
saudi,3,No-Op,4042,14,27.0,0.2857142857142857,1.0,900,-622.080078125
