region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,heldout_ignition,Value-First Heuristic,1042,5,34.0,0.0,0.9964912280701754,824,-391.73828125
california,heldout_ignition,Value-First Heuristic,1042,6,16.0,0.5,0.993103448275862,574,-277.48046875
california,heldout_ignition,Value-First Heuristic,1042,7,12.0,0.5,0.9908045977011494,497,-324.21875
california,heldout_ignition,Value-First Heuristic,1042,8,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,1042,9,28.0,0.16666666666666666,0.9862068965517241,740,-538.2421875
california,heldout_ignition,Value-First Heuristic,1042,10,34.0,0.0,0.9964912280701754,824,-391.71875
california,heldout_ignition,Value-First Heuristic,1042,11,16.0,0.5,0.993103448275862,574,-277.470703125
california,heldout_ignition,Value-First Heuristic,1042,12,12.0,0.5,0.9908045977011494,497,-324.208984375
california,heldout_ignition,Value-First Heuristic,1042,13,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,1042,14,28.0,0.16666666666666666,0.9862068965517241,740,-538.232421875
california,heldout_ignition,Value-First Heuristic,2042,0,34.0,0.0,0.9964912280701754,824,-391.708984375
california,heldout_ignition,Value-First Heuristic,2042,1,16.0,0.5,0.993103448275862,574,-277.48046875
california,heldout_ignition,Value-First Heuristic,2042,2,12.0,0.5,0.9908045977011494,497,-324.228515625
california,heldout_ignition,Value-First Heuristic,2042,3,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,2042,4,28.0,0.16666666666666666,0.9862068965517241,740,-538.26171875
california,heldout_ignition,Value-First Heuristic,2042,5,34.0,0.0,0.9964912280701754,824,-391.728515625
california,heldout_ignition,Value-First Heuristic,2042,6,16.0,0.5,0.993103448275862,574,-277.470703125
california,heldout_ignition,Value-First Heuristic,2042,7,12.0,0.5,0.9908045977011494,497,-324.23828125
california,heldout_ignition,Value-First Heuristic,2042,8,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,2042,9,28.0,0.16666666666666666,0.9862068965517241,740,-538.203125
california,heldout_ignition,Value-First Heuristic,2042,10,34.0,0.0,0.9964912280701754,824,-391.748046875
california,heldout_ignition,Value-First Heuristic,2042,11,16.0,0.5,0.993103448275862,574,-277.470703125
california,heldout_ignition,Value-First Heuristic,2042,12,12.0,0.5,0.9908045977011494,497,-324.21875
california,heldout_ignition,Value-First Heuristic,2042,13,0.0,1.0,0.993103448275862,279,-112.32421875
california,heldout_ignition,Value-First Heuristic,2042,14,28.0,0.16666666666666666,0.9862068965517241,740,-538.203125
california,heldout_ignition,Value-First Heuristic,3042,0,34.0,0.0,0.9964912280701754,824,-391.708984375
california,heldout_ignition,Value-First Heuristic,3042,1,16.0,0.5,0.993103448275862,574,-277.451171875
california,heldout_ignition,Value-First Heuristic,3042,2,12.0,0.5,0.9908045977011494,497,-324.21875
