region,condition,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
saudi,heldout_ignition,Value-First Heuristic,1042,5,27.0,0.2857142857142857,1.0,900,-121.2890625
saudi,heldout_ignition,Value-First Heuristic,1042,6,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,Value-First Heuristic,1042,7,15.0,0.42857142857142855,0.9973544973544973,896,-536.50390625
saudi,heldout_ignition,Value-First Heuristic,1042,8,15.0,0.42857142857142855,0.9954022988505747,647,-292.96875
saudi,heldout_ignition,Value-First Heuristic,1042,9,15.0,0.42857142857142855,0.9972222222222222,899,-715.009765625
saudi,heldout_ignition,Value-First Heuristic,1042,10,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,Value-First Heuristic,1042,11,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,Value-First Heuristic,1042,12,15.0,0.42857142857142855,0.9973544973544973,896,-536.494140625
saudi,heldout_ignition,Value-First Heuristic,1042,13,15.0,0.42857142857142855,0.9954022988505747,647,-293.017578125
saudi,heldout_ignition,Value-First Heuristic,1042,14,15.0,0.42857142857142855,0.9972222222222222,899,-714.98046875
saudi,heldout_ignition,Value-First Heuristic,2042,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,Value-First Heuristic,2042,1,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,Value-First Heuristic,2042,2,15.0,0.42857142857142855,0.9973544973544973,896,-536.513671875
saudi,heldout_ignition,Value-First Heuristic,2042,3,15.0,0.42857142857142855,0.9954022988505747,647,-292.958984375
saudi,heldout_ignition,Value-First Heuristic,2042,4,15.0,0.42857142857142855,0.9972222222222222,899,-715.029296875
saudi,heldout_ignition,Value-First Heuristic,2042,5,27.0,0.2857142857142857,1.0,900,-121.279296875
saudi,heldout_ignition,Value-First Heuristic,2042,6,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,Value-First Heuristic,2042,7,15.0,0.42857142857142855,0.9973544973544973,896,-536.513671875
saudi,heldout_ignition,Value-First Heuristic,2042,8,15.0,0.42857142857142855,0.9954022988505747,647,-292.978515625
saudi,heldout_ignition,Value-First Heuristic,2042,9,15.0,0.42857142857142855,0.9972222222222222,899,-714.98046875
saudi,heldout_ignition,Value-First Heuristic,2042,10,27.0,0.2857142857142857,1.0,900,-121.2890625
saudi,heldout_ignition,Value-First Heuristic,2042,11,27.0,0.2857142857142857,1.0,900,-492.685546875
saudi,heldout_ignition,Value-First Heuristic,2042,12,15.0,0.42857142857142855,0.9973544973544973,896,-536.50390625
saudi,heldout_ignition,Value-First Heuristic,2042,13,15.0,0.42857142857142855,0.9954022988505747,647,-292.98828125
saudi,heldout_ignition,Value-First Heuristic,2042,14,15.0,0.42857142857142855,0.9972222222222222,899,-714.970703125
saudi,heldout_ignition,Value-First Heuristic,3042,0,27.0,0.2857142857142857,1.0,900,-121.259765625
saudi,heldout_ignition,Value-First Heuristic,3042,1,27.0,0.2857142857142857,1.0,900,-492.666015625
saudi,heldout_ignition,Value-First Heuristic,3042,2,15.0,0.42857142857142855,0.9973544973544973,896,-536.50390625
saudi,heldout_ignition,Value-First Heuristic,3042,3,15.0,0.42857142857142855,0.9954022988505747,647,-292.96875
saudi,heldout_ignition,Value-First Heuristic,3042,4,15.0,0.42857142857142855,0.9972222222222222,899,-714.98046875
saudi,heldout_ignition,Value-First Heuristic,3042,5,27.0,0.2857142857142857,1.0,900,-121.259765625
saudi,heldout_ignition,Value-First Heuristic,3042,6,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,Value-First Heuristic,3042,7,15.0,0.42857142857142855,0.9973544973544973,896,-536.50390625
saudi,heldout_ignition,Value-First Heuristic,3042,8,15.0,0.42857142857142855,0.9954022988505747,647,-292.978515625
saudi,heldout_ignition,Value-First Heuristic,3042,9,15.0,0.42857142857142855,0.9972222222222222,899,-714.990234375
saudi,heldout_ignition,Value-First Heuristic,3042,10,27.0,0.2857142857142857,1.0,900,-121.259765625
saudi,heldout_ignition,Value-First Heuristic,3042,11,27.0,0.2857142857142857,1.0,900,-492.6953125
saudi,heldout_ignition,Value-First Heuristic,3042,12,15.0,0.42857142857142855,0.9973544973544973,896,-536.513671875
saudi,heldout_ignition,Value-First Heuristic,3042,13,15.0,0.42857142857142855,0.9954022988505747,647,-292.98828125
saudi,heldout_ignition,Value-First Heuristic,3042,14,15.0,0.42857142857142855,0.9972222222222222,899,-714.970703125
saudi,heldout_ignition,Value-First Heuristic,4042,0,27.0,0.2857142857142857,1.0,900,-121.26953125
saudi,heldout_ignition,Value-First Heuristic,4042,1,27.0,0.2857142857142857,1.0,900,-492.666015625
saudi,heldout_ignition,Value-First Heuristic,4042,2,15.0,0.42857142857142855,0.9973544973544973,896,-536.50390625
saudi,heldout_ignition,Value-First Heuristic,4042,3,15.0,0.42857142857142855,0.9954022988505747,647,-292.96875
saudi,heldout_ignition,Value-First Heuristic,4042,4,15.0,0.42857142857142855,0.9972222222222222,899,-714.98046875
