region,num_agents,policy,seed,episode,WEL,ISR,CE,burned_cells,total_reward
california,6,Value-First Heuristic,42,7.0,24.2,0.25555555555555554,0.9876619928760147,649.2,-392.4055989583333
california,6,Value-First Heuristic,1042,7.0,26.533333333333335,0.2,0.9870081207624197,695.8666666666667,-446.22265625
california,6,Value-First Heuristic,2042,7.0,26.533333333333335,0.2,0.9848276101103886,723.4666666666667,-484.140625
california,6,Value-First Heuristic,3042,7.0,22.0,0.3222222222222222,0.9872399875692858,633.4666666666667,-382.775390625
california,6,Value-First Heuristic,4042,7.0,23.4,0.27777777777777773,0.988151824976227,640.1333333333333,-386.5729166666667
california,10,CommNet (matched),42,7.0,19.8,0.3777777777777777,0.391998559368861,582.8666666666667,-393.29713541666666
california,10,CommNet (matched),1042,7.0,20.8,0.3333333333333333,0.3921261602927793,630.2,-446.61270833333333
california,10,CommNet (matched),2042,7.0,21.733333333333334,0.3,0.3805815149304276,663.4,-477.98455729166665
california,10,CommNet (matched),3042,7.0,16.8,0.45555555555555555,0.37545144912607703,570.5333333333333,-368.1465104166666
california,10,CommNet (matched),4042,7.0,17.8,0.43333333333333335,0.3891951313905337,576.1333333333333,-409.8921614583333
california,10,Local Reactive,42,7.0,4.8,0.6777777777777777,0.9843353227062882,488.3333333333333,-362.1738020833333
california,10,Local Reactive,1042,7.0,6.2,0.6,0.9841379310344827,512.0,-388.70765625
california,10,Local Reactive,2042,7.0,11.466666666666667,0.5222222222222223,0.9833851117997302,545.6666666666666,-398.0629947916667
california,10,Local Reactive,3042,7.0,0.8666666666666667,0.7222222222222222,0.9856733462933249,466.4,-301.38575520833336
california,10,Local Reactive,4042,7.0,2.466666666666667,0.7,0.9819461990432806,460.2,-333.1418229166667
california,10,No-Op,42,7.0,24.6,0.24444444444444444,1.0,656.0666666666667,-396.4635416666667
california,10,No-Op,1042,7.0,27.733333333333334,0.16666666666666666,1.0,702.5333333333333,-451.248046875
california,10,No-Op,2042,7.0,27.733333333333334,0.16666666666666666,1.0,731.0666666666667,-489.6399739583333
california,10,No-Op,3042,7.0,22.4,0.31111111111111106,1.0,641.4,-387.18359375
california,10,No-Op,4042,7.0,23.8,0.26666666666666666,1.0,646.6666666666666,-390.859375
california,10,Value-First Heuristic,42,7.0,24.2,0.25555555555555554,0.9860381935665173,646.7333333333333,-390.5826822916667
california,10,Value-First Heuristic,1042,7.0,26.533333333333335,0.2,0.985414205339848,692.7333333333333,-444.744140625
california,10,Value-First Heuristic,2042,7.0,26.533333333333335,0.2,0.9836009908237805,720.4666666666667,-481.5052083333333
california,10,Value-First Heuristic,3042,7.0,21.8,0.3333333333333333,0.985212514252423,629.0666666666667,-379.8704427083333
california,10,Value-First Heuristic,4042,7.0,23.4,0.27777777777777773,0.984602041940946,638.0666666666667,-385.1927083333333
