region,num_agents,policy,version,seed,episode,reward,burned_cells,fire_intensity
saudi,3,ppo_v2_ent0.02,v2,1,16,-3274.468015314295,92,162.20828247070312
saudi,3,ppo_v2_ent0.02,v2,1,17,-3578.6009333484335,113,197.18435668945312
saudi,3,ppo_v2_ent0.02,v2,1,18,-2985.8010240834515,73,150.7054443359375
saudi,3,ppo_v2_ent0.02,v2,1,19,-3264.021702924493,88,152.7125244140625
saudi,3,ppo_v2_ent0.02,v2,2,0,-3231.5268894236247,82,155.83273315429688
saudi,3,ppo_v2_ent0.02,v2,2,1,-3663.544668760184,97,173.06410217285156
saudi,3,ppo_v2_ent0.02,v2,2,2,-3418.5912101732742,103,169.365234375
saudi,3,ppo_v2_ent0.02,v2,2,3,-3447.8112931770374,87,157.93716430664062
saudi,3,ppo_v2_ent0.02,v2,2,4,-3561.1102331920574,87,165.37399291992188
saudi,3,ppo_v2_ent0.02,v2,2,5,-4097.584987911931,111,187.25218200683594
saudi,3,ppo_v2_ent0.02,v2,2,6,-4041.7020746461494,98,176.4541015625
saudi,3,ppo_v2_ent0.02,v2,2,7,-3940.816580603515,111,189.74127197265625
saudi,3,ppo_v2_ent0.02,v2,2,8,-4005.646860332502,104,172.199462890625
saudi,3,ppo_v2_ent0.02,v2,2,9,-3906.2225699913442,92,172.0276641845703
saudi,3,ppo_v2_ent0.02,v2,2,10,-3244.829672793444,88,161.92764282226562
saudi,3,ppo_v2_ent0.02,v2,2,11,-3421.5752777604966,90,168.92446899414062
saudi,3,ppo_v2_ent0.02,v2,2,12,-3103.526020871879,83,155.83316040039062
saudi,3,ppo_v2_ent0.02,v2,2,13,-4375.698438966615,106,199.7739715576172
saudi,3,ppo_v2_ent0.02,v2,2,14,-4315.460320971286,94,185.2847137451172
saudi,3,ppo_v2_ent0.02,v2,2,15,-4190.968421965201,106,184.413330078125
saudi,3,ppo_v2_ent0.02,v2,2,16,-3291.361232266463,92,163.97406005859375
saudi,3,ppo_v2_ent0.02,v2,2,17,-3628.0867336043866,115,199.75238037109375
saudi,3,ppo_v2_ent0.02,v2,2,18,-3039.2140733126676,78,154.72451782226562
saudi,3,ppo_v2_ent0.02,v2,2,19,-3314.694316677751,90,155.3992462158203
saudi,5,noop,baseline,0,0,-3384.2790137577495,86,155.26150512695312
saudi,5,noop,baseline,0,1,-3616.937194013009,94,165.3692626953125
saudi,5,noop,baseline,0,2,-3535.2106145525786,100,165.61941528320312
saudi,5,noop,baseline,0,3,-3404.839064547561,86,152.3734588623047
saudi,5,noop,baseline,0,4,-3477.4717868717516,83,157.77029418945312
saudi,5,noop,baseline,0,5,-4061.9883699134853,107,178.85421752929688
saudi,5,noop,baseline,0,6,-3990.172416046063,92,169.22555541992188
saudi,5,noop,baseline,0,7,-3808.9316659770257,108,180.15171813964844
saudi,5,noop,baseline,0,8,-3946.418960468253,100,164.99993896484375
saudi,5,noop,baseline,0,9,-3817.0495483456325,92,163.18515014648438
saudi,5,noop,baseline,0,10,-3230.5100664699494,91,158.78335571289062
saudi,5,noop,baseline,0,11,-3354.6731510838185,88,161.91334533691406
saudi,5,noop,baseline,0,12,-3076.8288676090956,80,153.36431884765625
saudi,5,noop,baseline,0,13,-4234.426002235386,98,189.14208984375
saudi,5,noop,baseline,0,14,-4174.338456863435,91,176.09182739257812
saudi,5,noop,baseline,0,15,-4110.948417362485,103,178.66250610351562
saudi,5,noop,baseline,0,16,-3222.5490062338154,91,157.97702026367188
saudi,5,noop,baseline,0,17,-3529.8000994906724,114,194.25677490234375
saudi,5,noop,baseline,0,18,-3466.2483552376084,85,157.1819305419922
saudi,5,noop,baseline,0,19,-3303.7219294189645,90,151.3170166015625
saudi,5,random,baseline,0,0,-2663.6263049391105,70,119.70722198486328
saudi,5,random,baseline,0,1,-2693.443444118555,69,118.64617919921875
saudi,5,random,baseline,0,2,-2672.829042171087,66,123.8360366821289
saudi,5,random,baseline,0,3,-2640.3756337629866,57,106.25874328613281
saudi,5,random,baseline,0,4,-3489.365886900261,84,148.6044921875
saudi,5,random,baseline,0,5,-3528.368323503447,82,141.02259826660156
saudi,5,random,baseline,0,6,-3314.029992266997,85,159.81175231933594
saudi,5,random,baseline,0,7,-2781.068825944354,64,130.67396545410156
saudi,5,random,baseline,0,8,-3155.1655720000654,67,124.61370849609375
saudi,5,random,baseline,0,9,-1652.8676812342135,49,84.5198974609375
saudi,5,random,baseline,0,10,-1716.7862919793724,45,74.2001724243164
saudi,5,random,baseline,0,11,-2748.0040778959774,79,149.3594207763672
saudi,5,random,baseline,0,12,-2235.9112418841496,48,107.87164306640625
saudi,5,random,baseline,0,13,-3148.051355916241,76,146.547607421875
saudi,5,random,baseline,0,14,-2970.7124774423614,59,122.9421615600586
saudi,5,random,baseline,0,15,-3628.1196902682427,79,140.7498779296875
saudi,5,random,baseline,0,16,-2784.8851923573566,70,138.6005859375
saudi,5,random,baseline,0,17,-3483.5601126244637,104,181.11080932617188
saudi,5,random,baseline,0,18,-2959.573149131252,75,138.19532775878906
saudi,5,random,baseline,0,19,-2553.7554647305396,69,118.02334594726562
saudi,5,nearest_fire,baseline,0,0,-26.197244362508854,0,0.09774549305438995
saudi,5,nearest_fire,baseline,0,1,-28.468045679250302,0,0.09755536168813705
saudi,5,nearest_fire,baseline,0,2,65.05803820236369,0,0.09781274944543839
saudi,5,nearest_fire,baseline,0,3,-9.664181317996658,0,0.0999949648976326
saudi,5,nearest_fire,baseline,0,4,-46.11703627705309,0,0.09974584728479385
saudi,5,nearest_fire,baseline,0,5,-19.272535119484505,0,0.09974584728479385
saudi,5,nearest_fire,baseline,0,6,-49.91655832123452,0,0.09706306457519531
saudi,5,nearest_fire,baseline,0,7,-8.702092669845943,0,0.09871098399162292
saudi,5,nearest_fire,baseline,0,8,-27.980785932899813,0,0.09719039499759674
saudi,5,nearest_fire,baseline,0,9,78.72772222086164,0,0.08556659519672394
saudi,5,nearest_fire,baseline,0,10,-25.094976832567905,0,0.097129225730896
saudi,5,nearest_fire,baseline,0,11,-63.82516616705295,0,0.09104956686496735
saudi,5,nearest_fire,baseline,0,12,-6.792340753675018,0,0.09855146706104279
saudi,5,nearest_fire,baseline,0,13,-67.08290190612277,0,0.0726184993982315
saudi,5,nearest_fire,baseline,0,14,-21.810316877042858,0,0.0783395916223526
saudi,5,nearest_fire,baseline,0,15,-29.101737059099435,0,0.09999755769968033
saudi,5,nearest_fire,baseline,0,16,10.531922951762436,0,0.09999755769968033
saudi,5,nearest_fire,baseline,0,17,-7.404473435279827,0,0.08802138268947601
saudi,5,nearest_fire,baseline,0,18,-26.141845207876955,0,0.09974584728479385
saudi,5,nearest_fire,baseline,0,19,-11.859534952246793,0,0.09763473272323608
saudi,5,frontier,baseline,0,0,-26.197244362508854,0,0.09774549305438995
saudi,5,frontier,baseline,0,1,-28.468045679250302,0,0.09755536168813705
saudi,5,frontier,baseline,0,2,65.05803820236369,0,0.09781274944543839
saudi,5,frontier,baseline,0,3,-9.664181317996658,0,0.0999949648976326
saudi,5,frontier,baseline,0,4,-46.11703627705309,0,0.09974584728479385
saudi,5,frontier,baseline,0,5,-19.272535119484505,0,0.09974584728479385
saudi,5,frontier,baseline,0,6,-49.91655832123452,0,0.09706306457519531
saudi,5,frontier,baseline,0,7,-8.702092669845943,0,0.09871098399162292
saudi,5,frontier,baseline,0,8,-27.980785932899813,0,0.09719039499759674
saudi,5,frontier,baseline,0,9,78.72772222086164,0,0.08556659519672394
saudi,5,frontier,baseline,0,10,-25.094976832567905,0,0.097129225730896
saudi,5,frontier,baseline,0,11,-63.82516616705295,0,0.09104956686496735
saudi,5,frontier,baseline,0,12,-6.792340753675018,0,0.09855146706104279
saudi,5,frontier,baseline,0,13,-67.08290190612277,0,0.0726184993982315
saudi,5,frontier,baseline,0,14,-21.810316877042858,0,0.0783395916223526
saudi,5,frontier,baseline,0,15,-29.101737059099435,0,0.09999755769968033
saudi,5,frontier,baseline,0,16,10.531922951762436,0,0.09999755769968033
saudi,5,frontier,baseline,0,17,-7.404473435279827,0,0.08802138268947601
saudi,5,frontier,baseline,0,18,-26.141845207876955,0,0.09974584728479385
saudi,5,frontier,baseline,0,19,-11.859534952246793,0,0.09763473272323608
saudi,5,ppo_v1,v1,0,0,-804.2282848735995,82,144.68008422851562
saudi,5,ppo_v1,v1,0,1,-1544.398349414049,100,173.3563232421875
saudi,5,ppo_v1,v1,0,2,-892.8493930799948,71,143.71600341796875
saudi,5,ppo_v1,v1,0,3,-902.5102458067191,75,135.75003051757812
saudi,5,ppo_v1,v1,0,4,-1147.111789119451,82,160.89883422851562
saudi,5,ppo_v1,v1,0,5,-2204.5941181223266,112,195.32574462890625
saudi,5,ppo_v1,v1,0,6,-1802.9541718264632,98,176.49557495117188
saudi,5,ppo_v1,v1,0,7,-1848.312463074852,105,188.9207000732422
saudi,5,ppo_v1,v1,0,8,-1900.307769293986,105,176.06069946289062
saudi,5,ppo_v1,v1,0,9,-1856.6217686682357,94,177.6671142578125
saudi,5,ppo_v1,v1,0,10,-998.4711548770575,96,161.87509155273438
saudi,5,ppo_v1,v1,0,11,-876.5378820771743,77,157.89437866210938
saudi,5,ppo_v1,v1,0,12,-722.5159675386856,79,152.11087036132812
saudi,5,ppo_v1,v1,0,13,-2352.070516829456,107,203.2452850341797
saudi,5,ppo_v1,v1,0,14,-2259.3036872251755,98,191.43084716796875
saudi,5,ppo_v1,v1,0,15,-1233.4486269679544,88,163.14291381835938
saudi,5,ppo_v1,v1,0,16,-939.5754755651037,87,161.60293579101562
saudi,5,ppo_v1,v1,0,17,-1491.2930666433838,111,199.12733459472656
saudi,5,ppo_v1,v1,0,18,-532.8196433908856,59,128.4328155517578
saudi,5,ppo_v1,v1,0,19,-793.5882037605927,85,147.09959411621094
saudi,5,ppo_v1,v1,1,0,-1046.9682801206436,81,152.2711181640625
saudi,5,ppo_v1,v1,1,1,-1061.5797069042133,87,157.75599670410156
saudi,5,ppo_v1,v1,1,2,-1198.9001564139492,98,163.9091339111328
saudi,5,ppo_v1,v1,1,3,-1192.9581812740885,83,153.45455932617188
saudi,5,ppo_v1,v1,1,4,-1094.788121590847,81,155.510986328125
saudi,5,ppo_v1,v1,1,5,-956.821568503872,94,175.91293334960938
saudi,5,ppo_v1,v1,1,6,-930.8594056222541,74,151.00753784179688
saudi,5,ppo_v1,v1,1,7,-1614.0000960779466,107,184.56832885742188
saudi,5,ppo_v1,v1,1,8,-1275.9935967188019,99,168.65969848632812
saudi,5,ppo_v1,v1,1,9,1002.6606240233012,31,51.36134338378906
saudi,5,ppo_v1,v1,1,10,-1010.9843108622694,86,158.0597381591797
saudi,5,ppo_v1,v1,1,11,-1194.1408433392808,86,164.80084228515625
saudi,5,ppo_v1,v1,1,12,507.34461560113937,38,77.88447570800781
saudi,5,ppo_v1,v1,1,13,-1530.8950973354897,86,172.7562713623047
saudi,5,ppo_v1,v1,1,14,-1550.9219112569115,89,174.0089874267578
saudi,5,ppo_v1,v1,1,15,-1258.7876228384978,94,154.56927490234375
saudi,5,ppo_v1,v1,1,16,-1168.364166870926,95,165.01922607421875
saudi,5,ppo_v1,v1,1,17,-1492.2424051330975,111,199.358642578125
saudi,5,ppo_v1,v1,1,18,-890.6931427356958,68,149.3218994140625
saudi,5,ppo_v1,v1,1,19,-874.1451711709769,84,145.15216064453125
saudi,5,ppo_v1,v1,2,0,-1095.3150035724175,86,154.00030517578125
saudi,5,ppo_v1,v1,2,1,-1333.3663836533383,94,165.7407989501953
saudi,5,ppo_v1,v1,2,2,-1262.53060325459,99,168.10244750976562
saudi,5,ppo_v1,v1,2,3,-986.6207791601604,78,151.0520782470703
saudi,5,ppo_v1,v1,2,4,-1159.5854946231298,87,162.57740783691406
saudi,5,ppo_v1,v1,2,5,-1818.9324981344173,106,185.76934814453125
saudi,5,ppo_v1,v1,2,6,-1749.9953572790537,94,174.02178955078125
saudi,5,ppo_v1,v1,2,7,-1564.2017394610134,107,184.03652954101562
saudi,5,ppo_v1,v1,2,8,-1593.2407912368383,98,159.60748291015625
saudi,5,ppo_v1,v1,2,9,-1672.1216872211476,91,169.18231201171875
saudi,5,ppo_v1,v1,2,10,-946.2410602787825,82,153.55267333984375
saudi,5,ppo_v1,v1,2,11,-1079.0033741603397,86,163.61737060546875
saudi,5,ppo_v1,v1,2,12,-803.6223925233113,76,146.1262664794922
saudi,5,ppo_v1,v1,2,13,-2209.32030740678,107,200.0099639892578
saudi,5,ppo_v1,v1,2,14,-1966.0502253093007,94,181.3835906982422
saudi,5,ppo_v1,v1,2,15,-1751.2445379805833,103,180.19268798828125
saudi,5,ppo_v1,v1,2,16,-915.5666528019042,88,155.27908325195312
saudi,5,ppo_v1,v1,2,17,-1165.8888516766197,109,188.557861328125
saudi,5,ppo_v1,v1,2,18,-913.7839785699977,75,149.89300537109375
saudi,5,ppo_v1,v1,2,19,-1022.4417175893605,86,146.91477966308594
saudi,5,ppo_v2_ent0.005,v2,0,0,-3316.8282641585392,79,154.5458984375
saudi,5,ppo_v2_ent0.005,v2,0,1,-3683.0807125764695,92,173.47503662109375
saudi,5,ppo_v2_ent0.005,v2,0,2,-3510.860382921306,102,168.9289093017578
saudi,5,ppo_v2_ent0.005,v2,0,3,-3395.5597003532457,85,157.0596466064453
saudi,5,ppo_v2_ent0.005,v2,0,4,-3503.129856683083,82,164.00558471679688
saudi,5,ppo_v2_ent0.005,v2,0,5,-3213.311797571333,97,181.1396484375
saudi,5,ppo_v2_ent0.005,v2,0,6,-3231.7349180953715,82,156.2013702392578
saudi,5,ppo_v2_ent0.005,v2,0,7,-3855.214232549013,106,187.55902099609375
saudi,5,ppo_v2_ent0.005,v2,0,8,-3446.1414474625853,101,170.13302612304688
saudi,5,ppo_v2_ent0.005,v2,0,9,-3081.4154902579057,92,160.1279754638672
