WEL,ISR,CE,burned,return,region,policy,seed,episode
27.0,0.2857142857142857,1.0,501,-41.285714285714285,saudi,noop,2042,3
27.0,0.2857142857142857,1.0,615,-41.285714285714285,saudi,noop,2042,4
27.0,0.2857142857142857,1.0,493,-41.285714285714285,saudi,noop,2042,5
27.0,0.2857142857142857,1.0,520,-41.285714285714285,saudi,noop,2042,6
27.0,0.2857142857142857,1.0,555,-41.285714285714285,saudi,noop,2042,7
27.0,0.2857142857142857,1.0,407,-41.285714285714285,saudi,noop,2042,8
27.0,0.2857142857142857,1.0,516,-41.285714285714285,saudi,noop,2042,9
27.0,0.2857142857142857,1.0,383,-41.285714285714285,saudi,noop,2042,10
27.0,0.2857142857142857,1.0,598,-41.285714285714285,saudi,noop,2042,11
27.0,0.2857142857142857,1.0,608,-41.28571428571429,saudi,noop,2042,12
27.0,0.2857142857142857,1.0,468,-41.285714285714285,saudi,noop,2042,13
27.0,0.2857142857142857,1.0,447,-41.285714285714285,saudi,noop,2042,14
27.0,0.2857142857142857,1.0,480,-41.285714285714285,saudi,noop,3042,0
27.0,0.2857142857142857,1.0,466,-41.28571428571429,saudi,noop,3042,1
27.0,0.2857142857142857,1.0,571,-41.285714285714285,saudi,noop,3042,2
27.0,0.2857142857142857,1.0,448,-41.285714285714285,saudi,noop,3042,3
27.0,0.2857142857142857,1.0,556,-41.285714285714285,saudi,noop,3042,4
27.0,0.2857142857142857,1.0,466,-41.285714285714285,saudi,noop,3042,5
27.0,0.2857142857142857,1.0,551,-41.285714285714285,saudi,noop,3042,6
27.0,0.2857142857142857,1.0,389,-41.285714285714285,saudi,noop,3042,7
27.0,0.2857142857142857,1.0,523,-41.285714285714285,saudi,noop,3042,8
27.0,0.2857142857142857,1.0,496,-41.285714285714285,saudi,noop,3042,9
27.0,0.2857142857142857,1.0,580,-41.28571428571429,saudi,noop,3042,10
27.0,0.2857142857142857,1.0,440,-41.285714285714285,saudi,noop,3042,11
27.0,0.2857142857142857,1.0,519,-41.285714285714285,saudi,noop,3042,12
27.0,0.2857142857142857,1.0,494,-41.285714285714285,saudi,noop,3042,13
27.0,0.2857142857142857,1.0,436,-41.285714285714285,saudi,noop,3042,14
27.0,0.2857142857142857,1.0,447,-41.285714285714285,saudi,noop,4042,0
27.0,0.2857142857142857,1.0,492,-41.28571428571429,saudi,noop,4042,1
27.0,0.2857142857142857,1.0,565,-41.285714285714285,saudi,noop,4042,2
27.0,0.2857142857142857,1.0,391,-41.285714285714285,saudi,noop,4042,3
27.0,0.2857142857142857,1.0,612,-41.285714285714285,saudi,noop,4042,4
27.0,0.2857142857142857,1.0,423,-41.285714285714285,saudi,noop,4042,5
27.0,0.2857142857142857,1.0,451,-41.285714285714285,saudi,noop,4042,6
27.0,0.2857142857142857,1.0,497,-41.285714285714285,saudi,noop,4042,7
27.0,0.2857142857142857,1.0,483,-41.285714285714285,saudi,noop,4042,8
27.0,0.2857142857142857,1.0,564,-41.285714285714285,saudi,noop,4042,9
27.0,0.2857142857142857,1.0,504,-41.285714285714285,saudi,noop,4042,10
27.0,0.2857142857142857,1.0,514,-41.285714285714285,saudi,noop,4042,11
27.0,0.2857142857142857,1.0,541,-41.285714285714285,saudi,noop,4042,12
27.0,0.2857142857142857,1.0,543,-41.285714285714285,saudi,noop,4042,13
27.0,0.2857142857142857,1.0,599,-41.285714285714285,saudi,noop,4042,14
18.0,0.5714285714285714,0.9955849889624724,467,-26.571428571428577,saudi,value_first,42,0
27.0,0.2857142857142857,0.9977924944812362,349,-41.285714285714285,saudi,value_first,42,1
18.0,0.5714285714285714,0.9955849889624724,428,-26.571428571428577,saudi,value_first,42,2
18.0,0.5714285714285714,1.0,431,-26.571428571428577,saudi,value_first,42,3
