baseline,reward,fire_intensity
Routing Only,-4.173008633232125,0.08018925786018372
Routing Only,22.001081329855907,0.07852669805288315
Routing Only,10.868510054935468,0.09775228798389435
Routing Only,16.39680295574703,0.08131958544254303
Routing Only,-5.480126587451872,0.06181386858224869
Routing Only,50.84203136778359,0.09948151558637619
Routing Only,8.09850844666091,0.08353564143180847
Routing Only,11.478663901922436,0.09373043477535248
Full Hybrid PPO,14.86744086601748,0.09432603418827057
Full Hybrid PPO,24.447859040707836,0.0863194465637207
Full Hybrid PPO,11.031066382214318,0.09493489563465118
Full Hybrid PPO,6.8414006829064355,0.08136211335659027
Full Hybrid PPO,19.002880108922223,0.08935325592756271
Full Hybrid PPO,10.443106135641994,0.09802639484405518
Full Hybrid PPO,5.989413084269569,0.08450508117675781
Full Hybrid PPO,19.542500134322907,0.09468329697847366
Full Hybrid PPO,25.342317905950498,0.08339108526706696
Full Hybrid PPO,4.170418098046789,0.09714707732200623
Full Hybrid PPO,31.769750071901118,0.08820842951536179
Full Hybrid PPO,11.001257135014793,0.09945537894964218
Full Hybrid PPO,3.7425102978551084,0.07812607288360596
Full Hybrid PPO,21.853072122884587,0.09885334968566895
Full Hybrid PPO,15.903867726730622,0.08724808692932129
Full Hybrid PPO,10.660743637281303,0.08131958544254303
Full Hybrid PPO,-1.8671329309601639,0.08859141170978546
Full Hybrid PPO,23.705364680104196,0.09767143428325653
Full Hybrid PPO,2.685130845311263,0.06958286464214325
Full Hybrid PPO,3.4383511586270283,0.09796507656574249
Full Hybrid PPO,18.54739749639648,0.07765784859657288
Full Hybrid PPO,39.408190138678314,0.09942837059497833
Full Hybrid PPO,11.442226222444527,0.07850988954305649
Full Hybrid PPO,3.9816341288543144,0.09218906611204147
Full Hybrid PPO,5.837444656564954,0.09729224443435669
Full Hybrid PPO,13.778751063217689,0.09718285501003265
Full Hybrid PPO,2.111053779369598,0.09988994896411896
Full Hybrid PPO,5.491684331136303,0.09432336688041687
Full Hybrid PPO,21.479147105929886,0.0991014912724495
Full Hybrid PPO,9.780143882879814,0.09714707732200623
Full Hybrid PPO,32.61771859868981,0.09896843135356903
Full Hybrid PPO,10.832132753063062,0.09779977053403854
Full Hybrid PPO,15.596435602031105,0.08340281248092651
Full Hybrid PPO,6.465739161791587,0.07850827276706696
Full Hybrid PPO,11.3214875777679,0.08911289274692535
Full Hybrid PPO,17.424133320658562,0.0777880847454071
Full Hybrid PPO,-2.325757862237331,0.06181386858224869
Full Hybrid PPO,30.735596838438408,0.08375892043113708
Full Hybrid PPO,4.093145021998783,0.07987075299024582
Full Hybrid PPO,16.936541545848545,0.09749986976385117
Full Hybrid PPO,19.353298008099294,0.09432603418827057
Full Hybrid PPO,27.36598613300948,0.0863194465637207
Full Hybrid PPO,16.40991238774703,0.09493489563465118
Full Hybrid PPO,10.381749543774136,0.08136211335659027
Full Hybrid PPO,27.837749786001478,0.08935325592756271
Full Hybrid PPO,16.34166874484773,0.09802639484405518
Full Hybrid PPO,4.975905167949523,0.08450508117675781
Full Hybrid PPO,19.694843884322907,0.09468329697847366
Full Hybrid PPO,34.8341365718412,0.08339108526706696
Full Hybrid PPO,10.966845082096738,0.09714707732200623
Full Hybrid PPO,34.93968100668645,0.08820842951536179
Full Hybrid PPO,20.90549850882229,0.09945537894964218
