seed,episode,region,policy,WEL,ISR,CE,burned_cells,total_reward
1042,12,saudi,Full System (retrained),27.0,0.2857142857142857,0.9964539007092199,900,-617.275390625
1042,13,saudi,Full System (retrained),27.0,0.2857142857142857,0.9972222222222222,900,-715.927734375
1042,14,saudi,Full System (retrained),15.0,0.42857142857142855,0.993103448275862,882,-666.552734375
2042,0,saudi,Full System (retrained),15.0,0.42857142857142855,0.9977011494252873,857,-594.6484375
2042,1,saudi,Full System (retrained),15.0,0.42857142857142855,0.9966666666666667,899,-639.677734375
2042,2,saudi,Full System (retrained),15.0,0.42857142857142855,0.996969696969697,899,-676.826171875
2042,3,saudi,Full System (retrained),27.0,0.2857142857142857,0.9895833333333334,900,-190.13671875
2042,4,saudi,Full System (retrained),27.0,0.2857142857142857,0.9950980392156863,899,-454.814453125
2042,5,saudi,Full System (retrained),27.0,0.2857142857142857,0.9970238095238095,900,-679.189453125
2042,6,saudi,Full System (retrained),15.0,0.42857142857142855,0.9908045977011494,874,-590.15625
2042,7,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-296.34765625
2042,8,saudi,Full System (retrained),27.0,0.2857142857142857,0.9970501474926253,900,-696.318359375
2042,9,saudi,Full System (retrained),15.0,0.42857142857142855,0.9885057471264368,899,-693.212890625
2042,10,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,899,-639.04296875
2042,11,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-390.712890625
2042,12,saudi,Full System (retrained),15.0,0.42857142857142855,1.0,897,-596.376953125
2042,13,saudi,Full System (retrained),27.0,0.2857142857142857,0.9953051643192489,900,-466.50390625
2042,14,saudi,Full System (retrained),15.0,0.42857142857142855,0.9968553459119497,898,-647.978515625
3042,0,saudi,Full System (retrained),15.0,0.42857142857142855,0.9977011494252873,791,-457.96875
3042,1,saudi,Full System (retrained),15.0,0.42857142857142855,0.9976851851851852,898,-714.296875
3042,2,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-131.23046875
3042,3,saudi,Full System (retrained),27.0,0.2857142857142857,0.9952038369304557,900,-747.646484375
3042,4,saudi,Full System (retrained),15.0,0.42857142857142855,1.0,899,-413.8671875
3042,5,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-437.2265625
3042,6,saudi,Full System (retrained),15.0,0.42857142857142855,1.0,896,-629.6875
3042,7,saudi,Full System (retrained),15.0,0.42857142857142855,0.993103448275862,849,-518.623046875
3042,8,saudi,Full System (retrained),27.0,0.2857142857142857,0.9977011494252873,864,-587.20703125
3042,9,saudi,Full System (retrained),15.0,0.42857142857142855,1.0,897,-553.330078125
3042,10,saudi,Full System (retrained),15.0,0.42857142857142855,0.9973544973544973,897,-682.36328125
3042,11,saudi,Full System (retrained),15.0,0.42857142857142855,0.997289972899729,899,-704.697265625
3042,12,saudi,Full System (retrained),15.0,0.42857142857142855,0.9799196787148594,899,-538.33984375
3042,13,saudi,Full System (retrained),27.0,0.2857142857142857,0.9948320413436692,900,-712.685546875
3042,14,saudi,Full System (retrained),27.0,0.2857142857142857,0.9972451790633609,900,-691.3671875
4042,0,saudi,Full System (retrained),15.0,0.42857142857142855,0.993103448275862,888,-664.74609375
4042,1,saudi,Full System (retrained),15.0,0.42857142857142855,1.0,897,-573.251953125
4042,2,saudi,Full System (retrained),15.0,0.42857142857142855,0.9977011494252873,748,-380.654296875
4042,3,saudi,Full System (retrained),27.0,0.2857142857142857,0.9777777777777777,900,-169.033203125
4042,4,saudi,Full System (retrained),27.0,0.2857142857142857,0.9875,900,-534.70703125
4042,5,saudi,Full System (retrained),27.0,0.2857142857142857,1.0,900,-456.015625
4042,6,saudi,Full System (retrained),15.0,0.42857142857142855,0.9977011494252873,872,-633.740234375
4042,7,saudi,Full System (retrained),27.0,0.2857142857142857,0.9925373134328358,899,-686.71875
