WEL,ISR,CE,burned,return,region,policy,seed,episode,train_seed
9.0,0.7142857142857143,1.0,212,-14.714285714285714,saudi,mappo,2042,10,42.0
8.0,0.7142857142857143,0.7328918322295805,515,-13.714285714285714,saudi,mappo,2042,11,42.0
13.0,0.5714285714285714,0.7527593818984547,469,-21.67142857142857,saudi,mappo,2042,12,42.0
4.0,0.8571428571428571,1.0,288,-6.857142857142858,saudi,mappo,2042,13,42.0
6.0,0.8571428571428571,0.7373068432671082,264,-8.857142857142858,saudi,mappo,2042,14,42.0
4.0,0.8571428571428571,0.7328918322295805,212,-6.857142857142858,saudi,mappo,3042,0,42.0
8.0,0.7142857142857143,1.0,328,-13.714285714285714,saudi,mappo,3042,1,42.0
8.0,0.7142857142857143,0.7328918322295805,486,-13.714285714285714,saudi,mappo,3042,2,42.0
0.0,1.0,1.0,261,0.0,saudi,mappo,3042,3,42.0
4.0,0.8571428571428571,0.7373068432671082,425,-6.857142857142858,saudi,mappo,3042,4,42.0
0.0,1.0,1.0,284,0.0,saudi,mappo,3042,5,42.0
13.0,0.5714285714285714,0.7373068432671082,320,-21.67142857142857,saudi,mappo,3042,6,42.0
9.0,0.7142857142857143,0.7373068432671082,112,-14.714285714285714,saudi,mappo,3042,7,42.0
4.0,0.8571428571428571,0.7306843267108167,409,-6.857142857142858,saudi,mappo,3042,8,42.0
8.0,0.7142857142857143,1.0,339,-13.714285714285714,saudi,mappo,3042,9,42.0
9.0,0.7142857142857143,0.739514348785872,441,-14.714285714285714,saudi,mappo,3042,10,42.0
6.0,0.8571428571428571,0.7373068432671082,258,-8.857142857142858,saudi,mappo,3042,11,42.0
8.0,0.7142857142857143,0.7328918322295805,400,-13.714285714285714,saudi,mappo,3042,12,42.0
4.0,0.8571428571428571,1.0,331,-6.857142857142858,saudi,mappo,3042,13,42.0
0.0,1.0,1.0,200,0.0,saudi,mappo,3042,14,42.0
0.0,1.0,1.0,246,0.0,saudi,mappo,4042,0,42.0
8.0,0.7142857142857143,1.0,366,-13.714285714285714,saudi,mappo,4042,1,42.0
4.0,0.8571428571428571,1.0,460,-6.857142857142858,saudi,mappo,4042,2,42.0
0.0,1.0,1.0,207,0.0,saudi,mappo,4042,3,42.0
8.0,0.7142857142857143,0.7328918322295805,528,-13.714285714285714,saudi,mappo,4042,4,42.0
8.0,0.7142857142857143,0.7284768211920529,289,-13.714285714285714,saudi,mappo,4042,5,42.0
0.0,1.0,1.0,263,0.0,saudi,mappo,4042,6,42.0
13.0,0.5714285714285714,1.0,351,-21.571428571428573,saudi,mappo,4042,7,42.0
14.0,0.7142857142857143,0.7284768211920529,335,-19.714285714285715,saudi,mappo,4042,8,42.0
