WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,region,condition
18.0,0.5714285714285714,0.9955849889624724,428,-26.571428571428577,value_first,saudi,,4042,6,saudi,standard
18.0,0.5714285714285714,0.9955849889624724,482,-26.571428571428577,value_first,saudi,,4042,7,saudi,standard
18.0,0.5714285714285714,1.0,460,-26.571428571428577,value_first,saudi,,4042,8,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,541,-26.571428571428577,value_first,saudi,,4042,9,saudi,standard
18.0,0.5714285714285714,1.0,490,-26.571428571428577,value_first,saudi,,4042,10,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,491,-26.571428571428577,value_first,saudi,,4042,11,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,518,-26.571428571428577,value_first,saudi,,4042,12,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,520,-26.571428571428577,value_first,saudi,,4042,13,saudi,standard
18.0,0.5714285714285714,0.9977924944812362,583,-26.571428571428573,value_first,saudi,,4042,14,saudi,standard
23.0,0.4285714285714285,0.4188034188034188,116,-37.02857142857143,local_reactive,saudi,,42,0,saudi,standard
9.0,0.7142857142857143,0.4345991561181435,47,-16.614285714285707,local_reactive,saudi,,42,1,saudi,standard
17.0,0.5714285714285714,0.4242424242424242,149,-27.871428571428567,local_reactive,saudi,,42,2,saudi,standard
13.0,0.7142857142857143,0.656084656084656,84,-19.81428571428571,local_reactive,saudi,,42,3,saudi,standard
9.0,0.7142857142857143,0.3984962406015037,79,-17.614285714285707,local_reactive,saudi,,42,4,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,42,5,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,42,6,saudi,standard
19.0,0.5714285714285714,0.5897435897435898,72,-29.371428571428567,local_reactive,saudi,,42,7,saudi,standard
19.0,0.5714285714285714,0.5113636363636364,87,-30.971428571428568,local_reactive,saudi,,42,8,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,42,9,saudi,standard
17.0,0.5714285714285714,0.4285714285714285,190,-28.67142857142856,local_reactive,saudi,,42,10,saudi,standard
23.0,0.4285714285714285,0.4188034188034188,116,-37.02857142857143,local_reactive,saudi,,42,11,saudi,standard
20.0,0.5714285714285714,0.5233644859813084,139,-31.671428571428574,local_reactive,saudi,,42,12,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,42,13,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,42,14,saudi,standard
17.0,0.5714285714285714,0.3777777777777777,226,-29.77142857142856,local_reactive,saudi,,1042,0,saudi,standard
4.0,0.8571428571428571,0.5458333333333333,75,-8.457142857142852,local_reactive,saudi,,1042,1,saudi,standard
19.0,0.5714285714285714,0.5077519379844961,87,-30.971428571428568,local_reactive,saudi,,1042,2,saudi,standard
23.0,0.4285714285714285,0.4130434782608695,172,-38.62857142857148,local_reactive,saudi,,1042,3,saudi,standard
9.0,0.7142857142857143,0.4603174603174603,57,-17.414285714285704,local_reactive,saudi,,1042,4,saudi,standard
14.0,0.7142857142857143,0.3917274939172749,111,-24.8142857142857,local_reactive,saudi,,1042,5,saudi,standard
16.0,0.7142857142857143,0.472463768115942,79,-23.51428571428571,local_reactive,saudi,,1042,6,saudi,standard
0.0,1.0,1.0,0,0.0,local_reactive,saudi,,1042,7,saudi,standard
23.0,0.4285714285714285,0.4567901234567901,136,-36.42857142857144,local_reactive,saudi,,1042,8,saudi,standard
